wl,reference,5,10,15,30,50,70,p3ht
470.589,0.438,,,,,,,
470.67,,0.9054,0.9049,0.8977,0.9012,0.9271,0.9295,
470.67335,,,,,,,,1.01352
471.507,0.4396,,,,,,,
471.52,,0.9096,0.9092,0.9005,0.9059,0.9291,0.9315,
471.52422,,,,,,,,1.02356
472.37509000000006,,,,,,,,1.02018
472.38,,0.9139,0.9146,0.9021,0.9105,0.9309,0.9338,
472.425,0.4418,,,,,,,
473.22596,,,,,,,,1.02614
473.23,,0.92,0.9193,0.9044,0.9145,0.9324,0.9362,
473.342,0.4444,,,,,,,
474.07683,,,,,,,,1.02442
474.08,,0.9262,0.9232,0.9076,0.9185,0.9349,0.9387,
474.26,0.4472,,,,,,,
474.92771,,,,,,,,1.012
474.93,,0.9311,0.9271,0.9119,0.9231,0.9392,0.9411,
475.178,0.4497,,,,,,,
475.77858,,,,,,,,0.99986
475.78,,0.9341,0.9315,0.9168,0.9284,0.945,0.9442,
476.096,0.4518,,,,,,,
476.62945,,,,,,,,0.9974
476.63,,0.936,0.9368,0.9225,0.9345,0.9517,0.9491,
477.013,0.4538,,,,,,,
477.48,,0.939,0.942,0.9301,0.9408,0.9584,0.9538,
477.48032,,,,,,,,1.00617
477.931,0.4558,,,,,,,
478.33,,0.9426,0.946,0.9397,0.9457,0.9633,0.9568,
478.3311900000001,,,,,,,,1.02606
478.849,0.4576,,,,,,,
479.18,,0.9448,0.9492,0.9477,0.9496,0.9662,0.9595,
479.18206,,,,,,,,1.05386
479.766,0.4595,,,,,,,
480.03,,0.9466,0.9525,0.9523,0.9533,0.9673,0.9616,
480.03294000000005,,,,,,,,1.07283
480.684,0.4617,,,,,,,
480.88,,0.9501,0.9559,0.9554,0.9563,0.9666,0.9626,
480.88381,,,,,,,,1.06884
481.602,0.464,,,,,,,
481.73,,0.9547,0.9588,0.9588,0.9582,0.9655,0.963,
481.73468,,,,,,,,1.05056
482.519,0.466,,,,,,,
482.58555,,,,,,,,1.03946
482.59,,0.9588,0.9614,0.962,0.9602,0.9653,0.9637,
483.43642,,,,,,,,1.04491
483.437,0.4678,,,,,,,
483.44,,0.9635,0.964,0.9643,0.9628,0.9661,0.9648,
484.28729,,,,,,,,1.04561
