wavenumber,e,d,f,g,h,i,j,l,m,n,a,c,b,o
3786.848,0.04294,0.8921,0.1337,0.7885,0.5091,0.1681,0.03759,-0.008974,-0.004041,0.01444,1.055,0.3207,1.105,-0.01031
3787.812,0.04301,0.8926,0.1338,0.7893,0.5093,0.1683,0.03778,-0.008942,-0.003886,0.01461,1.055,0.3207,1.106,-0.01021
3788.777,0.04307,0.8929,0.1341,0.7901,0.5098,0.1686,0.03803,-0.008882,-0.003736,0.0148,1.056,0.321,1.107,-0.01009
3789.741,0.04307,0.8929,0.1344,0.7908,0.5106,0.1689,0.03825,-0.008827,-0.003641,0.01496,1.056,0.3215,1.107,-0.009986
3790.705,0.043,0.8927,0.1347,0.7913,0.5114,0.169,0.03837,-0.008805,-0.003627,0.01507,1.057,0.322,1.108,-0.009913
3791.669,0.04289,0.8922,0.1349,0.7915,0.5122,0.1689,0.03836,-0.00882,-0.003695,0.0151,1.057,0.3223,1.108,-0.009901
3792.633,0.04275,0.8918,0.1349,0.7914,0.5126,0.1687,0.03822,-0.008861,-0.003818,0.01503,1.057,0.3223,1.107,-0.009959
3793.598,0.04262,0.8912,0.1347,0.791,0.5126,0.1684,0.038,-0.008907,-0.00396,0.01487,1.056,0.3219,1.107,-0.01008
3794.562,0.04248,0.8907,0.1344,0.7905,0.5122,0.1681,0.03774,-0.008951,-0.00409,0.01462,1.055,0.3212,1.106,-0.01023
3795.526,0.04229,0.8902,0.1341,0.7902,0.5119,0.1679,0.03752,-0.009001,-0.00419,0.0143,1.055,0.3207,1.107,-0.01039
3796.49,0.04199,0.8899,0.134,0.7901,0.5118,0.1678,0.03734,-0.009078,-0.004264,0.01393,1.054,0.3204,1.107,-0.01055
3797.455,0.04162,0.89,0.1341,0.7902,0.5119,0.1677,0.0372,-0.009193,-0.004319,0.01356,1.053,0.3205,1.108,-0.0107
3798.419,0.04128,0.8907,0.134,0.7903,0.5117,0.1675,0.03707,-0.009326,-0.004358,0.01324,1.052,0.3205,1.109,-0.01087
3799.383,0.04114,0.8918,0.1337,0.7904,0.5109,0.1672,0.03697,-0.009429,-0.004368,0.01308,1.051,0.3201,1.109,-0.011
3800.347,0.04133,0.8932,0.133,0.7905,0.5094,0.167,0.03694,-0.009447,-0.004336,0.01318,1.051,0.3194,1.11,-0.01105
3801.312,0.04181,0.8942,0.1324,0.7907,0.5079,0.1669,0.03699,-0.009361,-0.004268,0.01352,1.051,0.3187,1.109,-0.01098
3802.276,0.04234,0.8949,0.1322,0.791,0.5072,0.1672,0.03712,-0.009215,-0.004194,0.01398,1.051,0.3183,1.109,-0.01082
3803.24,0.04272,0.8953,0.1324,0.7915,0.5078,0.1676,0.03726,-0.009082,-0.004146,0.01435,1.053,0.3186,1.108,-0.01064
3804.204,0.04289,0.8955,0.1329,0.7921,0.5091,0.1679,0.03733,-0.009012,-0.004136,0.01453,1.054,0.3189,1.107,-0.01052
3805.169,0.04295,0.8957,0.1333,0.7928,0.5101,0.1679,0.03732,-0.009008,-0.004148,0.0145,1.056,0.3189,1.106,-0.0105
3806.133,0.04307,0.8959,0.1333,0.7935,0.5101,0.1676,0.03726,-0.009039,-0.004155,0.01434,1.057,0.3182,1.106,-0.01054
3807.097,0.04333,0.896,0.133,0.7942,0.5092,0.1672,0.03722,-0.009067,-0.004142,0.01417,1.058,0.3173,1.106,-0.01059
3808.061,0.04364,0.8959,0.1327,0.7947,0.5082,0.1671,0.03724,-0.009075,-0.004125,0.01409,1.059,0.3169,1.106,-0.01059
3809.025,0.04382,0.8957,0.1328,0.7952,0.5082,0.1673,0.03731,-0.009077,-0.004137,0.01408,1.059,0.3174,1.107,-0.01054
3809.99,0.04374,0.8956,0.1335,0.7954,0.5094,0.1678,0.03738,-0.009097,-0.004199,0.01409,1.058,0.3188,1.108,-0.01048
3810.954,0.04339,0.896,0.1343,0.7955,0.5114,0.1682,0.0374,-0.009143,-0.004306,0.01406,1.058,0.3205,1.108,-0.01046
3811.918,0.04286,0.8971,0.1351,0.7955,0.5134,0.1684,0.03735,-0.009201,-0.004429,0.01398,1.057,0.3218,1.108,-0.01049
3812.882,0.04234,0.8987,0.1354,0.7955,0.5147,0.1683,0.03725,-0.009241,-0.004524,0.01387,1.057,0.3224,1.107,-0.01056
3813.847,0.04197,0.9005,0.1352,0.7954,0.5148,0.168,0.03713,-0.009237,-0.004558,0.01378,1.057,0.3219,1.107,-0.01067
3814.811,0.04183,0.9018,0.1346,0.7951,0.5142,0.1677,0.03703,-0.009196,-0.004527,0.01377,1.057,0.3209,1.106,-0.01078
3815.775,0.04181,0.9021,0.134,0.7947,0.5134,0.1676,0.03693,-0.009166,-0.004467,0.0138,1.057,0.3199,1.107,-0.01087
3816.739,0.04175,0.9013,0.1336,0.7941,0.513,0.1676,0.0368,-0.009206,-0.00443,0.01381,1.058,0.3194,1.108,-0.01094
3817.704,0.04154,0.9,0.1334,0.7935,0.5129,0.1676,0.03664,-0.009342,-0.004438,0.01374,1.057,0.3192,1.109,-0.01099
3818.668,0.04124,0.8986,0.1331,0.7933,0.5125,0.1675,0.03647,-0.009532,-0.004471,0.01361,1.057,0.3187,1.111,-0.01097
3819.632,0.04109,0.8977,0.1325,0.7937,0.5115,0.1671,0.03638,-0.009688,-0.004492,0.01348,1.056,0.3177,1.111,-0.01086
3820.596,0.04126,0.8974,0.1318,0.7948,0.5099,0.1668,0.03645,-0.00972,-0.00448,0.01346,1.055,0.3163,1.111,-0.01065
3821.56,0.04174,0.8976,0.1313,0.7962,0.5085,0.1666,0.03667,-0.0096,-0.004451,0.01357,1.055,0.3151,1.111,-0.01041
3822.525,0.04228,0.8981,0.1314,0.7974,0.5081,0.1668,0.03694,-0.00939,-0.00444,0.01378,1.056,0.3147,1.111,-0.01023
3823.489,0.04263,0.8987,0.1318,0.7981,0.5088,0.1671,0.03714,-0.009189,-0.004461,0.01398,1.058,0.315,1.111,-0.01017
3824.453,0.04268,0.8994,0.1325,0.7984,0.51,0.1674,0.03721,-0.009062,-0.004497,0.0141,1.06,0.3158,1.111,-0.01025
3825.417,0.04249,0.9001,0.1332,0.7985,0.5113,0.1675,0.03714,-0.009025,-0.004519,0.01413,1.061,0.3166,1.111,-0.01041
3826.382,0.04219,0.9009,0.1336,0.7987,0.5124,0.1675,0.03699,-0.009061,-0.004509,0.0141,1.061,0.3173,1.111,-0.01058
3827.346,0.04193,0.9015,0.1338,0.799,0.5131,0.1674,0.03681,-0.009137,-0.004466,0.01403,1.061,0.3178,1.111,-0.01072
3828.31,0.04177,0.9019,0.1339,0.7993,0.5135,0.1674,0.03665,-0.009224,-0.004409,0.01396,1.061,0.3183,1.111,-0.01079
3829.274,0.04172,0.9019,0.134,0.7995,0.5139,0.1675,0.03656,-0.009304,-0.004358,0.0139,1.061,0.3186,1.111,-0.01079
3830.239,0.04174,0.9016,0.1342,0.7994,0.5143,0.1678,0.03655,-0.009367,-0.004322,0.01387,1.061,0.319,1.111,-0.01073
3831.203,0.04179,0.901,0.1344,0.799,0.5147,0.1681,0.03663,-0.009407,-0.004297,0.01389,1.062,0.3193,1.111,-0.01061
3832.167,0.04182,0.9003,0.1347,0.7986,0.5152,0.1684,0.03676,-0.00942,-0.004276,0.01395,1.062,0.3197,1.111,-0.01048
3833.131,0.04183,0.8997,0.1349,0.7982,0.5157,0.1687,0.03692,-0.009403,-0.004259,0.01403,1.062,0.32,1.112,-0.01035
3834.096,0.04179,0.8993,0.135,0.7982,0.5161,0.1688,0.03705,-0.009364,-0.004251,0.01409,1.062,0.3201,1.112,-0.01026
3835.06,0.04172,0.8994,0.1349,0.7985,0.516,0.1686,0.0371,-0.00932,-0.004259,0.01405,1.061,0.3199,1.112,-0.01027
3836.024,0.04161,0.9001,0.1343,0.7991,0.5152,0.1681,0.03703,-0.009293,-0.00428,0.01391,1.06,0.319,1.111,-0.01041
3836.988,0.04153,0.9012,0.1334,0.7997,0.5136,0.1674,0.03687,-0.009299,-0.004302,0.01368,1.059,0.3175,1.111,-0.01066
3837.952,0.04153,0.9022,0.1323,0.8003,0.5116,0.1665,0.03668,-0.009338,-0.004316,0.01346,1.058,0.3158,1.111,-0.01095
3838.917,0.04165,0.9031,0.1315,0.8011,0.51,0.1658,0.03653,-0.009389,-0.00432,0.01336,1.057,0.3144,1.111,-0.01116
3839.881,0.04185,0.9035,0.1312,0.8019,0.5091,0.1655,0.03647,-0.009422,-0.004318,0.01341,1.058,0.3136,1.112,-0.01123
3840.845,0.04207,0.9037,0.1313,0.8028,0.5092,0.1655,0.03648,-0.009413,-0.004313,0.01359,1.06,0.3135,1.113,-0.01114
3841.809,0.04227,0.9039,0.1317,0.8038,0.5097,0.1659,0.03655,-0.009346,-0.004291,0.01381,1.061,0.3138,1.114,-0.01095
3842.774,0.04243,0.9042,0.1322,0.8045,0.5103,0.1664,0.03665,-0.009215,-0.004235,0.01401,1.061,0.3143,1.114,-0.01073
3843.738,0.04254,0.9047,0.1327,0.805,0.511,0.1672,0.03678,-0.009031,-0.004133,0.01416,1.061,0.3149,1.114,-0.01051
3844.702,0.0426,0.9052,0.1332,0.8054,0.5119,0.168,0.03693,-0.008822,-0.003995,0.01425,1.06,0.3157,1.114,-0.01035
3845.666,0.04257,0.9055,0.1338,0.8056,0.5132,0.1689,0.03708,-0.008638,-0.003853,0.01429,1.06,0.3169,1.115,-0.01024
3846.631,0.04241,0.9055,0.1346,0.8058,0.5151,0.1696,0.03716,-0.008534,-0.003749,0.01427,1.059,0.3185,1.115,-0.01021
3847.595,0.04209,0.9051,0.1356,0.8059,0.5175,0.1702,0.03713,-0.008557,-0.00372,0.01417,1.059,0.3202,1.116,-0.01025
