Wavenumber[1/cm],120C,110C,100C,90C,80C,70C
2149.759,0.006013,0.09760000000000002,0.19940000000000002,0.2674,0.3177,0.3884
2150.241,0.006534,0.09820000000000001,0.19980000000000003,0.2663,0.3178,0.388
2150.723,0.006756,0.0985,0.2005,0.2653,0.3179,0.3878
2151.205,0.006613,0.09840000000000002,0.20129999999999998,0.2648,0.318,0.3879
2151.687,0.006195,0.098,0.20190000000000002,0.2649,0.3182,0.3882
2152.169,0.005701,0.09760000000000002,0.20229999999999998,0.2657,0.3186,0.3889
2152.651,0.005317,0.0973,0.2026,0.2672,0.3192,0.3898
2153.133,0.00515,0.09720000000000001,0.2026,0.2692,0.3198,0.3909
2153.615,0.005143,0.09720000000000001,0.2026,0.271,0.3203,0.3918
2154.098,0.005109,0.0973,0.2026,0.272,0.3205,0.3925
2154.58,0.004822,0.09710000000000002,0.20240000000000002,0.2719,0.3202,0.3924
2155.062,0.004141,0.09640000000000001,0.2022,0.2704,0.3195,0.3915
2155.544,0.003119,0.0955,0.20179999999999998,0.2679,0.3185,0.3899
2156.026,0.002013,0.0945,0.2015,0.2649,0.3174,0.388
2156.508,0.00122,0.0937,0.2012,0.2624,0.3165,0.3863
2156.99,0.001108,0.0937,0.20129999999999998,0.2613,0.3161,0.3856
2157.472,0.001863,0.0945,0.20190000000000002,0.2621,0.3164,0.3863
2157.955,0.003467,0.09620000000000001,0.2032,0.2649,0.3173,0.3884
2158.437,0.005609,0.09840000000000002,0.2051,0.269,0.319,0.3915
2158.919,0.007867,0.10070000000000001,0.20750000000000002,0.2737,0.321,0.3948
2159.401,0.009816,0.10270000000000001,0.21000000000000002,0.278,0.3232,0.3979
2159.883,0.01107,0.1041,0.2121,0.281,0.3253,0.4002
2160.365,0.01151,0.1046,0.2136,0.2823,0.327,0.4017
2160.847,0.01127,0.10440000000000002,0.2143,0.2822,0.3283,0.4028
2161.329,0.01062,0.1038,0.2143,0.2811,0.3291,0.4038
2161.811,0.009916,0.10320000000000001,0.2138,0.28,0.3298,0.4049
2162.294,0.00952,0.1028,0.2133,0.2794,0.3304,0.4062
2162.776,0.009658,0.1031,0.21300000000000002,0.2797,0.3313,0.4073
2163.258,0.01039,0.10390000000000002,0.2132,0.2808,0.3324,0.4079
2163.74,0.01162,0.10520000000000002,0.2138,0.2825,0.3337,0.4081
2164.222,0.01312,0.10670000000000002,0.2147,0.2842,0.3351,0.408
2164.704,0.01454,0.10820000000000002,0.2158,0.2858,0.3365,0.4082
2165.186,0.01555,0.10930000000000001,0.21689999999999998,0.2869,0.3377,0.4091
2165.668,0.01594,0.10970000000000002,0.2178,0.2876,0.3386,0.4107
2166.15,0.01567,0.10950000000000001,0.21860000000000002,0.2879,0.3393,0.4131
2166.633,0.01491,0.1089,0.21939999999999998,0.288,0.3398,0.4157
2167.115,0.01392,0.10790000000000002,0.2203,0.2881,0.3406,0.4182
2167.597,0.01302,0.1071,0.22139999999999999,0.2882,0.3417,0.4202
2168.079,0.01245,0.1066,0.2228,0.2885,0.3434,0.4217
2168.561,0.01229,0.10650000000000001,0.2242,0.2891,0.3456,0.4228
