,Wavenumber,Absorbance,film
422,806.4019999999999,0.8177,doped PBTTT
423,807.367,0.8140000000000001,doped PBTTT
424,808.331,0.8105,doped PBTTT
425,809.295,0.8072,doped PBTTT
426,810.2589999999999,0.8041,doped PBTTT
427,811.2239999999999,0.8011,doped PBTTT
428,812.188,0.7987,doped PBTTT
429,813.1519999999999,0.7968,doped PBTTT
430,814.1160000000001,0.7956,doped PBTTT
431,815.081,0.795,doped PBTTT
432,816.045,0.7948,doped PBTTT
433,817.0089999999999,0.7952,doped PBTTT
434,817.9730000000001,0.7961,doped PBTTT
435,818.937,0.7976,doped PBTTT
436,819.9019999999999,0.7999,doped PBTTT
437,820.8660000000001,0.8026,doped PBTTT
438,821.83,0.8052,doped PBTTT
439,822.794,0.8074,doped PBTTT
440,823.7589999999999,0.8086,doped PBTTT
441,824.7230000000001,0.8088,doped PBTTT
442,825.687,0.8082,doped PBTTT
443,826.6510000000001,0.8071,doped PBTTT
444,827.6160000000001,0.8059,doped PBTTT
445,828.58,0.8047,doped PBTTT
446,829.544,0.8036,doped PBTTT
447,830.508,0.8025,doped PBTTT
448,831.472,0.8016,doped PBTTT
449,832.437,0.8009,doped PBTTT
450,833.4010000000001,0.8007,doped PBTTT
451,834.365,0.8012,doped PBTTT
452,835.329,0.8027,doped PBTTT
453,836.294,0.8053,doped PBTTT
454,837.258,0.809,doped PBTTT
455,838.222,0.8138,doped PBTTT
456,839.186,0.8197,doped PBTTT
457,840.1510000000001,0.8266,doped PBTTT
458,841.115,0.8349,doped PBTTT
459,842.079,0.8445,doped PBTTT
460,843.043,0.8554,doped PBTTT
461,844.008,0.867,doped PBTTT
462,844.972,0.8792,doped PBTTT
463,845.936,0.8917,doped PBTTT
464,846.9,0.9046,doped PBTTT
465,847.8639999999999,0.9185,doped PBTTT
466,848.829,0.9336,doped PBTTT
467,849.793,0.9501,doped PBTTT
468,850.757,0.968,doped PBTTT
469,851.721,0.9868,doped PBTTT
470,852.686,1.006,doped PBTTT
471,853.65,1.026,doped PBTTT
472,854.6139999999999,1.047,doped PBTTT
